[-0.027600916102528572, -0.027901237830519676]
[-0.025458650663495064, -0.024761108681559563]
[-0.025494012981653214, -0.026606716215610504]
[-0.023803476244211197, -0.024045774713158607]
[-0.021800972521305084, -0.027507595717906952]
[-0.020578131079673767, -0.028022808954119682]
[-0.01882893592119217, -0.025867896154522896]
[-0.019583554938435555, -0.027401471510529518]
[-0.01765177957713604, -0.025024602189660072]
[-0.016031956300139427, -0.026159679517149925]
[-0.013684011995792389, -0.02380628138780594]
[-0.011559456586837769, -0.022898729890584946]
[-0.008749882690608501, -0.01890350505709648]
[-0.007159407250583172, -0.01672031544148922]
[-0.008231083862483501, -0.013947581872344017]
[-0.00954369269311428, -0.010134589858353138]
[-0.00900773424655199, -0.010096179321408272]
[-0.00898046139627695, -0.00895343255251646]
[-0.009692646563053131, -0.009070155210793018]
[-0.011086761951446533, -0.006927058100700378]
[-0.011705465614795685, -0.007054658606648445]
[-0.01088921818882227, -0.005331887397915125]
[-0.010338487103581429, -0.007479660212993622]
[-0.011915372684597969, -0.0023742434568703175]
[-0.013674689456820488, -0.0060348790138959885]
[-0.009050549007952213, -0.0036490168422460556]
[-0.011012768372893333, -0.0011282493360340595]
[-0.009607993997633457, -0.002762402640655637]
[-0.00820255558937788, 0.0006991119589656591]
[-0.007789611350744963, -0.0007006212254054844]
[-0.01080065593123436, -0.003604572033509612]
[-0.010026655159890652, -0.003030820284038782]
[-0.011663412675261497, -0.005255572963505983]
[-0.009655129164457321, -0.005760225933045149]
[-0.008497944101691246, -0.008854457177221775]
[-0.00996284931898117, -0.013750312849879265]
[-0.008608200587332249, -0.009710466489195824]
[-0.008693665266036987, -0.010726889595389366]
[-0.009207581169903278, -0.01087990216910839]
[-0.013498983345925808, -0.01113690622150898]
[-0.01326615922152996, -0.010823477990925312]
[-0.012683921493589878, -0.014200959354639053]
[-0.012957333587110043, -0.011345540173351765]
[-0.01440916582942009, -0.014175674878060818]
[-0.013455532491207123, -0.011601520702242851]
[-0.01671651378273964, -0.013733752071857452]
[-0.015351654030382633, -0.01329218689352274]
[-0.015090704895555973, -0.010128638707101345]
[-0.011897713877260685, -0.007478248793631792]
[-0.013839052058756351, -0.008062723092734814]
[-0.012886371463537216, -0.008230685256421566]
[-0.010384565219283104, -0.009252677671611309]
[-0.010245079174637794, -0.0068977028131484985]
[-0.009666888043284416, -0.003140088403597474]
[-0.011194497346878052, -0.004495556000620127]
[-0.010721193626523018, -0.0038862992078065872]
[-0.00974870752543211, -0.0013670347398146987]
[-0.006572537124156952, -0.0006068908260203898]
[-0.009458700194954872, 0.0008832754683680832]
[-0.008721035905182362, 0.001845794846303761]
[-0.009216053411364555, 0.001636759378015995]
[-0.008064279332756996, 0.0006430167704820633]
[-0.01038784347474575, 0.0007804001215845346]
[-0.009185011498630047, 0.001869960455223918]
[-0.010343778878450394, 0.0015800988767296076]
[-0.008843645453453064, 0.002992650493979454]
[-0.008504652418196201, 0.0017780956113711]
[-0.008273696526885033, 0.002040107734501362]
[-0.00908926036208868, 0.0008088264730758965]
[-0.009560485370457172, 0.0018005225574597716]
[-0.009536406956613064, 0.0019402813632041216]
[-0.012238897383213043, 0.001455799792893231]
[-0.01177641935646534, 0.002217677189037204]
[-0.011676454916596413, 0.0022618165239691734]
[-0.010285867378115654, 0.0025476994924247265]
[-0.009560646489262581, 0.0021860026754438877]
[-0.012366260401904583, 0.0017780691850930452]
[-0.010154619812965393, 0.0027385898865759373]
[-0.01397583819925785, 0.002158239483833313]
[-0.010699138045310974, 0.0025461323093622923]
[-0.01242524292320013, 0.0030040014535188675]
[-0.011359307914972305, 0.002581963548436761]
[-0.012644321657717228, 0.0020908513106405735]
[-0.010950058698654175, 0.003207763656973839]
[-0.012364634312689304, 0.0033203130587935448]
[-0.013678071089088917, 0.003963267896324396]
[-0.011287651024758816, 0.0037770140916109085]
[-0.012512634508311749, 0.0036219165194779634]
[-0.010373210534453392, 0.002204220974817872]
